utvec,dv,err,temp_degC,SM_EWT_meter,snow_EWT_meter,GSL_meter,UL_meter,date
2016.929443,0.199000,0.146500,-8.831480,-0.071431,0.005454,1276.974843,1369.188747,2016-12-06
2016.932251,0.192800,0.145800,-9.160939,-0.070920,0.005853,1276.982922,1369.191705,2016-12-07
2016.934937,0.188300,0.145200,-9.573503,-0.070394,0.006275,1276.990906,1369.194576,2016-12-08
2016.937744,0.178400,0.144300,-9.831135,-0.069899,0.006681,1276.999519,1369.197612,2016-12-09
2016.940430,0.178200,0.143700,-9.934060,-0.069415,0.007089,1277.008021,1369.200547,2016-12-10
2016.943237,0.172200,0.141900,-10.060406,-0.068924,0.007517,1277.017179,1369.203636,2016-12-11
2016.945923,0.165500,0.141200,-10.183396,-0.068471,0.007926,1277.026204,1369.206609,2016-12-12
2016.948608,0.161600,0.140700,-10.313530,-0.068017,0.008351,1277.035485,1369.209589,2016-12-13
2016.951416,0.155500,0.139800,-10.466596,-0.067604,0.008756,1277.045468,1369.212710,2016-12-14
2016.954102,0.149700,0.138700,-10.622301,-0.067196,0.009182,1277.055285,1369.215691,2016-12-15
2016.956909,0.149000,0.137500,-10.844431,-0.066817,0.009647,1277.065825,1369.218797,2016-12-16
2016.959595,0.145100,0.136700,-11.137670,-0.066447,0.010178,1277.076181,1369.221753,2016-12-17
2016.962402,0.143300,0.136600,-11.341000,-0.066067,0.010797,1277.087277,1369.224826,2016-12-18
2016.965088,0.137900,0.136500,-11.335320,-0.065710,0.011444,1277.098143,1369.227752,2016-12-19
2016.967773,0.134100,0.136000,-11.299360,-0.065342,0.012172,1277.109231,1369.230668,2016-12-20
2016.970581,0.130700,0.135900,-11.434000,-0.064994,0.012911,1277.121056,1369.233710,2016-12-21
2016.973267,0.130100,0.134900,-11.644250,-0.064634,0.013724,1277.132569,1369.236617,2016-12-22
2016.976074,0.126800,0.135600,-11.745420,-0.064293,0.014533,1277.144798,1369.239655,2016-12-23
2016.978760,0.125000,0.135500,-11.791820,-0.063953,0.015368,1277.156672,1369.242565,2016-12-24
2016.981567,0.117900,0.134600,-11.862250,-0.063598,0.016262,1277.169247,1369.245614,2016-12-25
2016.984253,0.106000,0.133600,-11.946230,-0.063258,0.017131,1277.181423,1369.248541,2016-12-26
2016.986938,0.102800,0.134000,-12.141670,-0.062902,0.018050,1277.193720,1369.251481,2016-12-27
2016.989746,0.101300,0.133900,-12.366520,-0.062559,0.018931,1277.206699,1369.254573,2016-12-28
2016.992432,0.098400,0.134400,-12.472300,-0.062198,0.019850,1277.219213,1369.257551,2016-12-29
2016.995239,0.093500,0.134300,-12.537550,-0.061848,0.020720,1277.232378,1369.260687,2016-12-30
2016.997925,0.090400,0.135100,-12.500230,-0.061494,0.021577,1277.245045,1369.263715,2016-12-31
2017.000732,0.085800,0.136300,-12.444850,-0.061117,0.022451,1277.258339,1369.266912,2017-01-01
2017.003418,0.081100,0.136500,-12.303610,-0.060750,0.023261,1277.271099,1369.270004,2017-01-02
2017.006104,0.078000,0.137500,-12.091410,-0.060358,0.024076,1277.283883,1369.273133,2017-01-03
